deadlines_count,workload_hours,free_hours,confidence,stress,attendance,quiz_score,time_spent,risk_level
2,5,10,8,3,92,88,6,Low
2,6,9,7,4,90,85,5,Low
1,4,8,9,2,95,91,4,Low
3,7,10,7,4,88,79,6,Low
2,5,7,8,3,86,82,4,Low
3,8,12,7,5,84,76,5,Low
1,3,6,9,2,96,93,3,Low
4,9,12,7,5,82,74,6,Low
2,6,8,8,4,89,81,5,Low
3,7,9,7,5,85,78,5,Low
1,5,10,8,3,91,87,4,Low
2,4,7,9,2,94,90,3,Low
3,8,11,7,5,80,72,6,Low
2,6,9,8,4,83,77,5,Low
3,10,9,6,6,78,68,4,Medium
4,12,10,5,7,75,62,5,Medium
2,8,7,6,6,81,65,4,Medium
5,13,11,5,7,74,60,5,Medium
3,9,8,6,6,76,69,4,Medium
4,11,10,5,6,72,64,5,Medium
2,7,6,6,7,79,58,3,Medium
5,14,12,5,7,70,61,5,Medium
3,10,11,6,5,82,67,4,Medium
4,12,13,5,6,77,63,6,Medium
2,9,8,6,6,73,66,4,Medium
3,11,9,5,7,71,59,4,Medium
4,10,9,6,6,80,70,5,Medium
5,15,14,5,7,72,62,6,Medium
4,16,9,4,8,68,52,3,High
5,18,10,3,9,62,48,2,High
6,20,11,3,9,58,45,3,High
3,14,7,4,8,65,50,2,High
5,17,8,3,10,60,42,2,High
4,15,8,4,8,67,55,3,High
6,21,9,2,9,54,40,2,High
5,19,10,3,8,63,47,3,High
4,14,6,4,9,69,53,2,High
6,22,11,2,10,52,38,2,High
5,18,9,3,8,57,44,3,High
3,13,5,4,9,66,49,2,High
